269	-58
270	-59
272	-60
273	-61
275	-62
276	-62
278	-63
279	-64
281	-65
282	-64
284	-65
286	-66
287	-67
289	-68
290	-69
292	-70
294	-70
295	-70
297	-71
299	-72
300	-73
302	-74
304	-74
305	-74
307	-75
309	-76
310	-77
312	-76
314	-77
316	-78
318	-79
319	-79
321	-80
323	-81
325	-82
327	-83
329	-85
330	-86
332	-87
334	-88
336	-89
338	-90
340	-91
342	-92
344	-94
346	-95
348	-96
350	-97
352	-98
354	-97
356	-99
359	-100
361	-101
363	-102
365	-103
367	-104
369	-106
372	-107
374	-106
376	-107
378	-109
381	-110
383	-111
385	-112
388	-114
390	-115
392	-114
395	-116
397	-117
400	-118
402	-120
405	-121
407	-122
410	-124
412	-125
415	-126
418	-128
420	-127
423	-129
426	-130
428	-132
431	-133
434	-135
437	-136
439	-138
442	-139
445	-141
448	-142
451	-144
454	-143
457	-143
460	-145
463	-144
466	-144
469	-143
472	-143
476	-143
479	-142
482	-142
485	-142
489	-141
492	-141
496	-136
499	-132
502	-127
506	-123
510	-116
513	-107
517	-106
521	-93
525	-73
529	-21
533	7
537	45
541	86
545	112
549	114
553	115
557	117
562	119
566	121
570	123
574	125
578	127
583	129
587	131
591	133
596	135
601	137
